#separator:tab
#html:true
#notetype:Basic
#deck:APFC::6 Traps
#tags column:3
<b>T-01 The inverted instruction</b> ★★★★★<br><br>The stem asks for the exception, with <i>NOT</i>, <i>EXCEPT</i>, <i>INCORRECT</i> arriving late in a long sentence, past the point where the eye has begun scanning options.<br><br>What is the remedy?	Circle the negation before looking at any option, then consciously restate the task: <i>I am hunting the false one; three of these will be true and I must resist them.</i> Say it internally. Two seconds, and it is the cheapest insurance in the paper.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-01
<b>T-02 The double negative</b> ★★★☆☆<br><br>A negation in the stem <b>and</b> one inside the option — <i>which of the following is not incorrect</i>, or a body <i>not excluded</i> from a provision.<br><br>What is the remedy?	<b>Rewrite, do not reason.</b> Cancel the pair in the margin and restate positively in three words. <i>Not incorrect</i> becomes <i>true</i>. Never hold two negations in working memory.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-02
<b>T-03 The quantified stem — <i>how many of the above are correct</i></b> ★★★★★<br><br>Four statements; options are <i>Only one / Only two / Only three / All four</i>.<br><br>What is the remedy?	<b>Adjudicate, then count — never count by feel.</b> Write <b>T</b>, <b>F</b> or <b>?</b> beside every statement in the booklet, then add up your own marks arithmetically. One <b>?</b> converts the item from a knowledge question into a probability question, and you should treat it as such rather than letting a sense of the likely total choose for you. The protocol below is the whole of it. ::: check | CHECK YOURSELF · THE THREE-PART COUNT PROTOCOL 1. <b>Adjudicate each statement in isolation</b>, writing <b>T</b>, <b>F</b> or <b>?</b> physically beside it 2. <b>Never guess the count from a feeling.</b> The count must be arithmetic on your own marks 3. <b>If you have even one ?</b>, treat the question as elimination-only: check whether both candidate counts appear among the options. If they do and the ? will not resolve, this is a genuine probability-sweep question, not a knowledge question — and per F11.1 §1.2 you should still attempt it :::	APFC::M11::F11_4 syllabus::exam-craft type::trap T-03
<b>T-04 The best-answer question disguised as a correct-answer question</b> ★★★★☆<br><br>Two or more options are factually true, but one is more complete or more directly responsive. The stem carries a silent superlative — <i>the principal objective</i>, <i>the most appropriate</i>, or merely <i>the objective</i>.<br><br>What is the remedy?	When a second option also looks true, <b>do not resolve by re-checking truth</b>. Resolve by <b>scope matching</b>: re-read the stem, fix its exact scope, and take the option whose scope is identical — neither broader nor narrower.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-04
<b>T-05 Scope creep in the stem</b> ★★★★☆<br><br>A familiar fact wrapped in a slightly widened scope — <i>in all States and Union Territories</i>, <i>for every establishment</i>, <i>throughout India</i>, <i>since inception</i>.<br><br>What is the remedy?	Underline every scope word, then ask one question of each: <b>is there a known exception?</b> If yes, the option is false.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-05
<b>T-06 The pair-count matching question</b> ★★★★★<br><br><i>Consider the following pairs. How many pairs are correctly matched?</i> — typically Act and year, scheme and ministry, committee and subject, Article and content.<br><br>What is the remedy?	Adjudicate in order of <b>your</b> confidence, not the printed order. Resolve the certain pairs first; that often fixes the count without the obscure pair mattering at all. If it does not, prefer the count that requires the <b>famous-but-subtly-wrong</b> pair to be wrong — that is the pair the question was built around.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-06
<b>T-07 Absolute qualifiers in the options</b> ★★★★★<br><br><i>always, never, only, all, none, must, invariably, in no case, cannot</i>.<br><br>What is the remedy?	The highest-yield elimination heuristic available: <b>absolutes are false far more often than true</b>, because Indian statutory reality is built of provisos and exemptions. When an option says <i>only</i> or <i>never</i>, spend your effort constructing <b>one</b> counter-example; find it and you have a <b>hard</b> elimination. ::: trap | TRAP · DO NOT LET T-07 BECOME SUPERSTITION Absolutes <b>are</b> true where the statute itself is absolute. A Money Bill can be introduced <b>only</b> in the Lok Sabha. Article 360 has <b>never</b> been invoked. Under the EPF & MP Act, an establishment once covered <b>continues</b> to be covered even if strength falls below the threshold. Use the heuristic to <b>direct suspicion</b>, never to decide alone. An elimination made on the presence of the word <i>never</i>, with no supporting fact, is a <b>soft</b> elimination wearing a hard elimination's clothes — exactly the failure §1.2 warns about. :::	APFC::M11::F11_4 syllabus::exam-craft type::trap T-07
<b>T-08 Hedged qualifiers in the options</b> ★★★★☆<br><br>The mirror image — <i>generally, usually, may, often, some, ordinarily, tends to</i>.<br><br>What is the remedy?	<b>Never eliminate an option merely for being cautious.</b> Forced to choose between an absolute and a hedged option with no other basis, take the hedged one.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-08
<b>T-09 The near-miss number</b> ★★★★★<br><br>The correct figure with one digit, one order of magnitude, or one adjacent statutory value changed.<br><br>What is the remedy?	§5's numbers ledger, and one habit: when a number appears, do not ask <i>does this look right</i>. Ask <b>which slot does this number belong to</b>. Recognition without slot-assignment is precisely what the trap eats.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-09
<b>T-10 Section and Article number swaps</b> ★★★★★<br><br>Correct content attached to the wrong Article, Section, Schedule or Chapter.<br><br>What is the remedy?	Learn numbers in <b>clusters with a narrative</b>, never as isolated pairs. The Directive Principles on labour run as a story — 39 health and strength of workers, 41 right to work and public assistance, 42 just and humane conditions and maternity relief, 43 living wage, 43A workers' participation. Rehearse the run, not the pairs.	APFC::M11::F11_4 syllabus::exam-craft type::trap T-10
